"filename", "language", "CSS", "XML", "JavaScript", "JSON", "Markdown", "HTML", "SQL", "Python", "comment", "blank", "total"
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/images/icon_popup.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/images/icon_record.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/images/icon_reel.svg", "XML", 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/images/icon_reels.svg", "XML", 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/images/icon_refresh.svg", "XML", 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/images/icon_rewind.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/images/icon_safety.svg", "XML", 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/images/icon_send.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/images/icon_swap.svg", "XML", 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/images/icon_trash.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/images/icon_vimeo_white.svg", "XML", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 9
