 poster_id |                           title                            |  imdb_id   | rank |                                cloudinary_id                                 
      1431 | Whiteout                                                   | tt0365929  |      | posters/Whiteout_tt0365929
      1432 | The Pinkertons                                             | tt4089276  |      | posters/The_Pinkertons_tt4089276
      1433 | Hunting Season                                             | tt2315338  |      | posters/Hunting_Season_tt2315338
      1435 | Orphan: First Kill                                         | tt11851548 |      | posters/Orphan:_First_Kill_tt11851548
      1436 | Psycho Killer                                              | tt1764551  |      | no poster
      1437 | The Spencer Sisters                                        | tt21275092 |      | posters/The_Spencer_Sisters_tt21275092
      1438 | Run                                                        | tt8633478  |      | posters/Run_tt8633478
      1439 | Clear Lake                                                 | tt1238284  |      | posters/Clear_Lake_tt1238284
      1440 | The Silencing                                              | tt7149730  |      | posters/The_Silencing_tt7149730
      1441 | Taken                                                      | tt5052460  |      | posters/Taken_tt5052460
      1442 | Eye of the Beast                                           | tt0867286  |      | posters/Eye_of_the_Beast_tt0867286
      1443 | Hair of the Bear                                           | tt30144738 |      | no poster
      1444 | A Bear Named Winnie                                        | tt0437088  |      | posters/A_Bear_Named_Winnie_tt0437088
      1445 | Blue State                                                 | tt0780486  |      | posters/Blue_State_tt0780486
      1446 | The Plague                                                 | tt0479125  |      | posters/The_Plague_tt0479125
      1447 | Romance in Style                                           | tt21653744 |      | posters/Romance_in_Style_tt21653744
      1448 | Another WolfCop                                            | tt4515762  |      | posters/Another_WolfCop_tt4515762
      1449 | The Messengers                                             | tt0425430  |      | posters/The_Messengers_tt0425430
      1450 | The Hessen Affair                                          | tt1153106  |      | posters/The_Hessen_Affair_tt1153106
      1451 | Devil&apos;s Gate                                          | tt4610748  |      | posters/Devilandapos;s_Gate_tt4610748
      1452 | The Parts You Lose                                         | tt4827922  |      | posters/The_Parts_You_Lose_tt4827922
      1453 | Shoresy                                                    | tt18249282 |      | posters/Shoresy_tt18249282
      1454 | Once Upon a Time                                           | tt1843230  |      | posters/Once_Upon_a_Time_tt1843230
      1455 | Star Trek: Strange New Worlds                              | tt12327578 |      | posters/Star_Trek:_Strange_New_Worlds_tt12327578
      1456 | Safehaven                                                  | tt6098278  |      | posters/Safehaven_tt6098278
      1457 | Mother&apos;s Day                                          | tt1434435  |      | posters/Motherandapos;s_Day_tt1434435
      1458 | Rabbit Hole                                                | tt5822112  |      | posters/Rabbit_Hole_tt5822112
      1459 | Hyena Road                                                 | tt4034452  |      | posters/Hyena_Road_tt4034452
(389 rows)

